call_id,timestamp,date,agent_id,agent_name,campaign_id,campaign_name,dialer,disposition,duration_sec,is_connected
CALL000001,2026-04-28 14:38:04,2026-04-28,AGT005,James Williams,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000002,2026-04-28 12:35:55,2026-04-28,AGT013,Kevin Walker,CMP002,Product Renewal Outreach,Twilio,Callback Scheduled,43,0
CALL000003,2026-04-28 12:49:41,2026-04-28,AGT001,Priya Smith,CMP003,Customer Support Inbound,Acqueon,Connected,594,1
CALL000004,2026-04-28 08:46:56,2026-04-28,AGT011,Raj Davis,CMP001,Q2 Collections Drive,Five9,Voicemail,39,0
CALL000005,2026-04-28 16:58:06,2026-04-28,AGT009,Nina Robinson,CMP005,New Leads May Blast,Five9,No Answer,0,0
CALL000006,2026-04-28 10:23:48,2026-04-28,AGT010,Linda Martinez,CMP004,Win-Back Campaign,RingCentral,Voicemail,22,0
CALL000007,2026-04-28 16:58:00,2026-04-28,AGT006,Tyler Patel,CMP003,Customer Support Inbound,Acqueon,No Answer,0,0
CALL000008,2026-04-28 12:15:03,2026-04-28,AGT020,Nina Brown,CMP002,Product Renewal Outreach,Twilio,Connected,416,1
CALL000009,2026-04-28 09:46:31,2026-04-28,AGT008,Raj Chen,CMP005,New Leads May Blast,Five9,Do Not Call,0,0
CALL000010,2026-04-28 10:42:30,2026-04-28,AGT003,Kevin Kim,CMP005,New Leads May Blast,Five9,Voicemail,18,0
CALL000011,2026-04-28 14:13:59,2026-04-28,AGT018,Chris Johnson,CMP001,Q2 Collections Drive,Five9,Voicemail,48,0
CALL000012,2026-04-28 12:25:42,2026-04-28,AGT018,Chris Johnson,CMP004,Win-Back Campaign,RingCentral,No Answer,0,0
CALL000013,2026-04-28 11:14:04,2026-04-28,AGT012,Nina Anderson,CMP002,Product Renewal Outreach,Twilio,Voicemail,17,0
CALL000014,2026-04-28 17:14:00,2026-04-28,AGT011,Raj Davis,CMP001,Q2 Collections Drive,Five9,No Answer,0,0
CALL000015,2026-04-28 08:55:21,2026-04-28,AGT003,Kevin Kim,CMP003,Customer Support Inbound,Acqueon,Connected,114,1
CALL000016,2026-04-28 11:34:08,2026-04-28,AGT003,Kevin Kim,CMP003,Customer Support Inbound,Acqueon,Connected,542,1
CALL000017,2026-04-28 14:12:06,2026-04-28,AGT019,Julia Davis,CMP003,Customer Support Inbound,Acqueon,Connected,529,1
CALL000018,2026-04-28 15:55:46,2026-04-28,AGT004,Omar Lewis,CMP003,Customer Support Inbound,Acqueon,Voicemail,36,0
